,Номер,Дата,Файл,СтраницаОбщая,ПутьФайла,ТипФайла,Пункт,ИД,Номер/Дата,АоРПИ Дата из АООК,АоРПИ Номер из АООК,Статус проверки,Дата АООК,Расхождения
0,INC-0284.2021-DD-F0-80-050-KM1-2190,2023-02-20,АОРПИ Усть-Луга_INC-0284.2021-DD-F0-80-050-KM1-2190_377.pdf,377,D:\Работа\Силенко Д.Т\Задача 2(Путхон - Кварк V2)\Данные 4\АОРПИ Усть-Луга.csv,АОРПИ Усть-Луга,3305,Акт о проведении контрольного мероприятия по входному контролю продукции,INC-0284.2021-DD-F0-80-050-KM1-2190 от 20.02.2023 г,2023-02-20,INC-0284.2021-DD-F0-80-050-KM1-2190,nan,2023-05-24,[]
1,INC-0284.2021-DD-F0-80-050-КМ1-3986,2023-04-15,АОРПИ Усть-Луга_INC-0284.2021-DD-F0-80-050-КМ1-3986_378.pdf,378,D:\Работа\Силенко Д.Т\Задача 2(Путхон - Кварк V2)\Данные 4\АОРПИ Усть-Луга.csv,АОРПИ Усть-Луга,,,,,,Не приложен АОРПИ,2023-05-24,"[{'Тип': 'Дата', 'Рез': NaT, 'Преф': 'Дата из АООК: \n'}]"
2,INC-0284.2021-DD-F0-80-050-KM-4818,2022-12-20,АОРПИ Усть-Луга_INC-0284.2021-DD-F0-80-050-KM-4818_380.pdf,380,D:\Работа\Силенко Д.Т\Задача 2(Путхон - Кварк V2)\Данные 4\АОРПИ Усть-Луга.csv,АОРПИ Усть-Луга,2262,Акт о проведении контрольного мероприятия по входному контролю продукции,INC-0284.2021-DD-F0-80-050-KM-4818 от 20.12.2022 г.,2022-12-20,INC-0284.2021-DD-F0-80-050-KM-4818,nan,2023-05-24,[]
3,INC-0284.2021-DD-F0-80-050-KM1-4539,2023-03-01,АОРПИ Усть-Луга_№INC-0284.2021-DD-F0-80-050-KM1-4539_381.pdf,381,D:\Работа\Силенко Д.Т\Задача 2(Путхон - Кварк V2)\Данные 4\АОРПИ Усть-Луга.csv,АОРПИ Усть-Луга,1680,Акт о проведении контрольного мероприятия по входному контролю продукции,INC-0284.2021-DD-F0-80-050-KM1-4539 от 10.03.2023 г,2023-03-10,INC-0284.2021-DD-F0-80-050-KM1-4539,nan,2023-05-24,"[{'Тип': 'Дата', 'Рез': Timestamp('2023-03-10 00:00:00'), 'Преф': 'Дата из АООК: \n'}]"
4,INC-0284.2021-DD-F0-80-050-KM1-4538,2023-01-31,АОРПИ Усть-Луга_№№INC-0284.2021-DD-F0-80-050-KM1-4538_387.pdf,387,D:\Работа\Силенко Д.Т\Задача 2(Путхон - Кварк V2)\Данные 4\АОРПИ Усть-Луга.csv,АОРПИ Усть-Луга,,,,,,Не приложен АОРПИ,2023-05-24,"[{'Тип': 'Дата', 'Рез': NaT, 'Преф': 'Дата из АООК: \n'}]"
5,INC-0284.2021-DD-F0-80-050-KM1-4532,2023-02-22,АОРПИ Усть-Луга_№№INC-0284.2021-DD-F0-80-050-KM1-4532_399.pdf,399,D:\Работа\Силенко Д.Т\Задача 2(Путхон - Кварк V2)\Данные 4\АОРПИ Усть-Луга.csv,АОРПИ Усть-Луга,1235,Акт о проведении контрольного мероприятия по входному контролю продукции,INC-0284.2021-DD-F0-80-050-KM1-4532 от 22.02.2023 г,2023-02-22,INC-0284.2021-DD-F0-80-050-KM1-4532,nan,2023-05-24,[]
6,INC-0284.2021-DD-F0-80-050-KM1-4524,2023-01-30,АОРПИ Усть-Луга_№№INC-0284.2021-DD-F0-80-050-KM1-4524_407.pdf,407,D:\Работа\Силенко Д.Т\Задача 2(Путхон - Кварк V2)\Данные 4\АОРПИ Усть-Луга.csv,АОРПИ Усть-Луга,1042,Акт о проведении контрольного мероприятия по входному контролю продукции,INC-0284.2021-DD-F0-80-050-KM1-4524 от 31.01.2023 г,2023-01-31,INC-0284.2021-DD-F0-80-050-KM1-4524,nan,2023-05-24,"[{'Тип': 'Дата', 'Рез': Timestamp('2023-01-31 00:00:00'), 'Преф': 'Дата из АООК: \n'}]"
7,INC-0284.2021-DD-F0-80-050-KM1-4520,2023-02-10,АОРПИ Усть-Луга_№INC-0284.2021-DD-F0-80-050-KM1-4520_419.pdf,419,D:\Работа\Силенко Д.Т\Задача 2(Путхон - Кварк V2)\Данные 4\АОРПИ Усть-Луга.csv,АОРПИ Усть-Луга,,,,,,Не приложен АОРПИ,2023-05-24,"[{'Тип': 'Дата', 'Рез': NaT, 'Преф': 'Дата из АООК: \n'}]"
8,INC-0284.2021-DD-F0-80-050-KM1-3376,2023-03-15,АОРПИ Усть-Луга_INC-0284.2021-DD-F0-80-050-KM1-3376_435.pdf,435,D:\Работа\Силенко Д.Т\Задача 2(Путхон - Кварк V2)\Данные 4\АОРПИ Усть-Луга.csv,АОРПИ Усть-Луга,3313,Акт о проведении контрольного мероприятия по входному контролю продукции,INC-0284.2021-DD-F0-80-050-KM1-3376 от 15.03.2023 г,2023-03-15,INC-0284.2021-DD-F0-80-050-KM1-3376,nan,2023-05-24,[]
9,INC-0284.2021-DD-F0-80-050-KM1-3085/1,2023-03-01,АОРПИ Усть-Луга_INC-0284.2021-DD-F0-80-050-KM1-3085_1_436.pdf,436,D:\Работа\Силенко Д.Т\Задача 2(Путхон - Кварк V2)\Данные 4\АОРПИ Усть-Луга.csv,АОРПИ Усть-Луга,3273,Акт о проведении контрольного мероприятия по входному контролю продукции,INC-0284.2021-DD-F0-80-050-KM1-3085/1 от 01.03.2023 г,2023-03-01,INC-0284.2021-DD-F0-80-050-KM1-3085/1,nan,2023-05-24,[]
10,INC-0284.2021-DD-F0-80-050-КM1-1574/2,2023-03-01,АОРПИ Усть-Луга_INC-0284.2021-DD-F0-80-050-КM1-1574_2_437.pdf,437,D:\Работа\Силенко Д.Т\Задача 2(Путхон - Кварк V2)\Данные 4\АОРПИ Усть-Луга.csv,АОРПИ Усть-Луга,,,,,,Не приложен АОРПИ,2023-05-24,"[{'Тип': 'Дата', 'Рез': NaT, 'Преф': 'Дата из АООК: \n'}]"
11,INC-0284.2021-DD-F0-80-050-KM1-1513/4,2023-01-27,АОРПИ Усть-Луга_INC-0284.2021-DD-F0-80-050-KM1-1513_4_438.pdf,438,D:\Работа\Силенко Д.Т\Задача 2(Путхон - Кварк V2)\Данные 4\АОРПИ Усть-Луга.csv,АОРПИ Усть-Луга,3296,Акт о проведении контрольного мероприятия по входному контролю продукции,INC-0284.2021-DD-F0-80-050-KM1-1513/4 от 27.01.2023 г,2023-01-27,INC-0284.2021-DD-F0-80-050-KM1-1513/4,nan,2023-05-24,[]
12,INC-0284.2021-DD-F0-80-050-KM1-1463I2,2023-02-08,АОРПИ Усть-Луга_INC-0284.2021-DD-F0-80-050-KM1-1463I2_439.pdf,439,D:\Работа\Силенко Д.Т\Задача 2(Путхон - Кварк V2)\Данные 4\АОРПИ Усть-Луга.csv,АОРПИ Усть-Луга,,,,,,Не приложен АОРПИ,2023-05-24,"[{'Тип': 'Дата', 'Рез': NaT, 'Преф': 'Дата из АООК: \n'}]"
13,,,,,,,1,Акт о проведении контрольного мероприятия по входному контролю продукции,№INC-0284.202І-DD-F0-80-050-КМ1-4562  от 28.02.2023 г,2023-02-28,INC-0284.202І-DD-F0-80-050-KM1-4562,Не указан в АООК,2023-05-24,"[{'Тип': 'Дата', 'Рез': Timestamp('2023-02-28 00:00:00'), 'Преф': 'Дата из АООК: \n'}]"
14,,,,,,,337,Акт о проведении контрольного мероприятия по входному контролю продукции,INC-0284.2021-DD-F0-80-050-KM1 4538 от 31.01.2023 г,2023-01-31,INC-0284.2021-DD-F0-80-050-KM1 4538,Не указан в АООК,2023-05-24,"[{'Тип': 'Дата', 'Рез': Timestamp('2023-01-31 00:00:00'), 'Преф': 'Дата из АООК: \n'}]"
15,,,,,,,2267,Акт о проведении контрольного мероприятия по входному контролю продукции,NC-0284.2021-DD-F0-80-050-КМ1-4520 от 10.02.2023 г,2023-02-10,NC-0284.2021-DD-F0-80-050-KM1-4520,Не указан в АООК,2023-05-24,"[{'Тип': 'Дата', 'Рез': Timestamp('2023-02-10 00:00:00'), 'Преф': 'Дата из АООК: \n'}]"
16,,,,,,,3271,Акт о проведении контрольного мероприятия по входному контролю продукции,INC-0284.2021-DD-F0-80-050-KM1-1574/2 от 01.03.2023 г,2023-03-01,INC-0284.2021-DD-F0-80-050-KM1-1574/2,Не указан в АООК,2023-05-24,"[{'Тип': 'Дата', 'Рез': Timestamp('2023-03-01 00:00:00'), 'Преф': 'Дата из АООК: \n'}]"
17,,,,,,,3277,Акт о проведении контрольного мероприятия по входному контролю продукции,INC-0284.2021-DD-F0-80-050-KM1-1463/2 от 08.02.2023 г,2023-02-08,INC-0284.2021-DD-F0-80-050-KM1-1463/2,Не указан в АООК,2023-05-24,"[{'Тип': 'Дата', 'Рез': Timestamp('2023-02-08 00:00:00'), 'Преф': 'Дата из АООК: \n'}]"
18,,,,,,,3319,Акт о проведении контрольного мероприятия по входному контролю продукции,INC-0284.2021-DD-F0-80-050-KM1-3986 от 15.04.2023 г,2023-04-15,INC-0284.2021-DD-F0-80-050-KM1-3986,Не указан в АООК,2023-05-24,"[{'Тип': 'Дата', 'Рез': Timestamp('2023-04-15 00:00:00'), 'Преф': 'Дата из АООК: \n'}]"
